transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
144,3.877888,3.636224,0.232448,3.868672
145,3.877888,3.620864,0.247808,3.868672
146,3.877888,3.643392,0.226304,3.869696
147,3.892224,3.654656,0.228352,3.883008
148,3.890176,3.649536,0.231424,3.88096
149,3.82976,3.580928,0.239616,3.820544
150,3.885056,3.643392,0.232448,3.87584
151,3.842048,3.603456,0.229376,3.832832
152,4.257792,4.0192,0.228352,4.247552
153,3.79904,3.565568,0.22528,3.790848
154,3.894272,3.65568,0.229376,3.885056
155,3.854336,3.605504,0.239616,3.84512
156,3.813376,3.567616,0.236544,3.80416
157,3.897344,3.652608,0.236544,3.889152
158,3.83488,3.58912,0.236544,3.825664
159,3.888128,3.641344,0.237568,3.878912
160,3.884032,3.631104,0.243712,3.874816
161,3.949568,3.687424,0.252928,3.940352
162,3.854336,3.61472,0.231424,3.846144
163,3.95776,3.697664,0.25088,3.948544
164,3.857408,3.611648,0.236544,3.848192
165,4.330496,4.08576,0.23552,4.32128
166,3.848192,3.59424,0.244736,3.838976
167,3.924992,3.668992,0.247808,3.9168
168,3.874816,3.6096,0.256,3.8656
169,4.2752,4.01408,0.251904,4.265984
170,3.931136,3.677184,0.244736,3.92192
171,3.881984,3.62496,0.247808,3.872768
172,3.881984,3.605504,0.26624,3.871744
173,3.9168,3.648512,0.259072,3.907584
174,3.889152,3.620864,0.259072,3.879936
175,3.848192,3.595264,0.243712,3.838976
176,3.852288,3.581952,0.26112,3.843072
177,3.922944,3.644416,0.270336,3.914752
178,3.894272,3.620864,0.263168,3.884032
179,3.900416,3.620864,0.270336,3.8912
180,3.883008,3.608576,0.264192,3.872768
181,3.912704,3.64032,0.263168,3.903488
182,3.89632,3.623936,0.262144,3.88608
183,3.867648,3.595264,0.263168,3.858432
184,3.88608,3.61984,0.257024,3.876864
185,4.35712,4.078592,0.270336,4.348928
186,3.951616,3.677184,0.264192,3.941376
187,3.923968,3.641344,0.274432,3.915776
188,3.984384,3.702784,0.27136,3.974144
189,3.929088,3.648512,0.270336,3.918848
190,4.028416,3.7376,0.2816,4.0192
