transparent mesh count, total frame render time, shadow mapping time, geometry draw time, combination draw time
331,3.890176,3.78368,0.096256,3.879936
332,3.82976,3.718144,0.101376,3.81952
333,3.879936,3.767296,0.101376,3.868672
334,3.800064,3.688448,0.101376,3.789824
335,3.82976,3.71712,0.1024,3.81952
336,3.890176,3.777536,0.1024,3.879936
337,4.483072,4.370432,0.1024,4.472832
338,3.894272,3.782656,0.101376,3.884032
339,3.858432,3.745792,0.1024,3.848192
340,3.90144,3.789824,0.101376,3.8912
341,3.832832,3.720192,0.101376,3.821568
342,3.830784,3.719168,0.101376,3.820544
343,3.88096,3.766272,0.104448,3.87072
344,3.828736,3.714048,0.105472,3.81952
345,3.922944,3.807232,0.105472,3.912704
346,3.858432,3.74272,0.104448,3.847168
347,3.890176,3.77344,0.105472,3.878912
348,3.894272,3.77856,0.104448,3.883008
349,3.914752,3.800064,0.104448,3.904512
350,3.841024,3.726336,0.104448,3.830784
351,3.80928,3.694592,0.104448,3.79904
352,3.910656,3.795968,0.104448,3.900416
353,3.866624,3.74784,0.108544,3.856384
354,3.893248,3.776512,0.10752,3.884032
355,3.929088,3.810304,0.108544,3.918848
356,3.87584,3.75808,0.10752,3.8656
357,3.958784,3.84,0.10752,3.94752
358,3.9168,3.798016,0.108544,3.90656
359,3.831808,3.714048,0.10752,3.821568
360,3.827712,3.709952,0.10752,3.817472
361,3.908608,3.790848,0.10752,3.898368
362,4.48512,4.368384,0.106496,4.47488
363,3.879936,3.761152,0.108544,3.869696
364,3.9424,3.821568,0.111616,3.933184
365,3.954688,3.831808,0.111616,3.943424
366,3.878912,3.75808,0.11264,3.87072
367,3.92192,3.79904,0.11264,3.91168
368,3.871744,3.748864,0.111616,3.86048
369,3.843072,3.72224,0.111616,3.833856
370,4.478976,4.356096,0.111616,4.467712
371,3.920896,3.798016,0.111616,3.909632
372,3.876864,3.756032,0.111616,3.867648
373,3.922944,3.800064,0.111616,3.91168
374,3.867648,3.745792,0.111616,3.857408
375,3.881984,3.756032,0.115712,3.871744
376,3.9424,3.817472,0.114688,3.93216
377,3.888128,3.762176,0.114688,3.876864
378,3.9424,3.817472,0.114688,3.93216
379,4.617216,4.49024,0.114688,4.604928
380,4.595712,4.46976,0.114688,4.584448
381,3.920896,3.794944,0.115712,3.910656
382,3.97312,3.848192,0.114688,3.96288
383,3.948544,3.822592,0.114688,3.93728
384,3.920896,3.794944,0.115712,3.910656
385,3.990528,3.861504,0.118784,3.980288
386,3.940352,3.811328,0.118784,3.930112
387,3.863552,3.734528,0.11776,3.852288
388,3.917824,3.787776,0.118784,3.90656
389,3.95776,3.827712,0.118784,3.946496
390,3.91168,3.781632,0.118784,3.900416
391,4.610048,4.48,0.118784,4.598784
392,3.905536,3.776512,0.118784,3.895296
393,3.8656,3.735552,0.118784,3.854336
394,3.949568,3.81952,0.118784,3.938304
395,3.951616,3.818496,0.12288,3.941376
396,3.92192,3.7888,0.121856,3.910656
397,3.99872,3.8656,0.12288,3.98848
398,3.986432,3.852288,0.12288,3.975168
399,3.94752,3.813376,0.12288,3.936256
400,3.943424,3.80928,0.123904,3.933184
401,3.96288,3.828736,0.123904,3.95264
402,4.645888,4.51072,0.123904,4.634624
403,4.018176,3.884032,0.12288,4.006912
404,4.004864,3.871744,0.121856,3.9936
405,3.92704,3.794944,0.121856,3.9168
406,3.904512,3.766272,0.126976,3.893248
407,3.992576,3.854336,0.126976,3.981312
408,3.979264,3.842048,0.126976,3.969024
409,3.940352,3.802112,0.126976,3.929088
410,4.004864,3.866624,0.126976,3.9936
411,4.03968,3.900416,0.128,4.028416
412,3.977216,3.837952,0.128,3.965952
413,3.995648,3.857408,0.126976,3.984384
414,3.979264,3.841024,0.126976,3.968
415,3.950592,3.812352,0.126976,3.939328
416,4.02432,3.88096,0.132096,4.013056
417,4.70016,4.5568,0.132096,4.688896
418,3.964928,3.821568,0.132096,3.953664
419,3.913728,3.770368,0.132096,3.902464
420,3.979264,3.835904,0.132096,3.968
421,4.02944,3.88608,0.132096,4.018176
422,4.033536,3.890176,0.132096,4.022272
423,3.955712,3.812352,0.13312,3.945472
424,3.991552,3.848192,0.132096,3.980288
425,4.022272,3.878912,0.13312,4.012032
426,3.992576,3.849216,0.13312,3.982336
427,3.98848,3.844096,0.13312,3.977216
428,4.025344,3.88096,0.13312,4.01408
429,4.00384,3.86048,0.132096,3.992576
430,4.651008,4.508672,0.132096,4.640768
431,4.028416,3.885056,0.132096,4.017152
432,4.01408,3.869696,0.13312,4.002816
433,4.701184,4.558848,0.131072,4.68992
434,3.989504,3.846144,0.132096,3.97824
435,3.975168,3.830784,0.13312,3.963904
436,3.994624,3.846144,0.13824,3.984384
437,4.052992,3.904512,0.137216,4.041728
438,4.064256,3.915776,0.137216,4.052992
439,3.97824,3.831808,0.136192,3.968
440,3.943424,3.794944,0.137216,3.93216
441,3.989504,3.841024,0.137216,3.97824
442,4.047872,3.900416,0.13824,4.038656
443,4.809728,4.6592,0.13824,4.79744
444,3.990528,3.843072,0.136192,3.979264
445,4.032512,3.883008,0.13824,4.021248
446,4.059136,3.904512,0.142336,4.046848
447,4.015104,3.86048,0.14336,4.00384
448,4.036608,3.88096,0.14336,4.02432
449,4.068352,3.914752,0.14336,4.058112
450,4.03968,3.885056,0.14336,4.028416
451,4.021248,3.867648,0.142336,4.009984
452,3.997696,3.843072,0.142336,3.985408
453,4.74624,4.591616,0.142336,4.733952
454,4.765696,4.61312,0.142336,4.755456
455,4.00384,3.849216,0.142336,3.991552
456,4.0192,3.859456,0.149504,4.00896
457,4.032512,3.873792,0.147456,4.021248
458,4.098048,3.938304,0.14848,4.086784
459,4.108288,3.948544,0.14848,4.097024
460,4.051968,3.892224,0.147456,4.03968
461,4.048896,3.8912,0.14848,4.03968
462,4.071424,3.910656,0.149504,4.06016
463,4.840448,4.681728,0.147456,4.829184
464,4.063232,3.902464,0.14848,4.050944
465,4.076544,3.9168,0.149504,4.066304
466,4.11648,3.955712,0.149504,4.105216
467,4.028416,3.868672,0.149504,4.018176
468,4.009984,3.851264,0.147456,3.99872
469,4.092928,3.933184,0.147456,4.08064
470,4.068352,3.907584,0.149504,4.057088
471,4.0704,3.910656,0.14848,4.059136
472,4.104192,3.944448,0.14848,4.092928
473,4.016128,3.853312,0.149504,4.002816
474,4.032512,3.872768,0.14848,4.021248
475,4.0704,3.904512,0.154624,4.059136
476,4.097024,3.930112,0.154624,4.084736
477,4.027392,3.861504,0.1536,4.015104
478,4.016128,3.849216,0.154624,4.00384
479,4.047872,3.88096,0.154624,4.035584
480,4.069376,3.902464,0.154624,4.057088
481,4.028416,3.86048,0.155648,4.016128
482,4.021248,3.853312,0.154624,4.007936
483,4.0704,3.902464,0.155648,4.058112
484,4.079616,3.912704,0.155648,4.068352
485,4.09088,3.9168,0.162816,4.079616
486,4.088832,3.914752,0.162816,4.077568
487,4.1472,3.972096,0.16384,4.135936
488,4.148224,3.974144,0.161792,4.135936
489,4.149248,3.974144,0.162816,4.13696
490,4.097024,3.92192,0.162816,4.084736
491,4.03968,3.8656,0.161792,4.027392
492,4.903936,4.729856,0.162816,4.892672
493,4.175872,4.000768,0.162816,4.163584
494,4.120576,3.946496,0.162816,4.109312
495,4.10624,3.923968,0.169984,4.093952
496,4.12672,3.944448,0.169984,4.114432
497,4.119552,3.936256,0.171008,4.107264
498,4.139008,3.956736,0.171008,4.127744
499,4.107264,3.924992,0.169984,4.094976
500,4.133888,3.951616,0.169984,4.1216
501,4.173824,3.991552,0.169984,4.161536
502,4.135936,3.954688,0.169984,4.124672
503,4.07552,3.892224,0.169984,4.062208
504,4.091904,3.910656,0.16896,4.079616
505,4.117504,3.936256,0.169984,4.10624
506,4.161536,3.979264,0.171008,4.150272
507,4.140032,3.956736,0.171008,4.127744
508,4.133888,3.951616,0.169984,4.1216
509,4.1728,3.990528,0.169984,4.160512
510,4.191232,4.007936,0.172032,4.179968
511,4.192256,4.009984,0.171008,4.180992
512,5.01248,4.829184,0.171008,5.000192
513,4.129792,3.94752,0.169984,4.117504
514,4.186112,3.995648,0.177152,4.1728
515,4.161536,3.970048,0.1792,4.149248
516,4.160512,3.970048,0.178176,4.148224
517,4.212736,4.021248,0.178176,4.199424
518,4.23424,4.041728,0.1792,4.220928
519,4.155392,3.964928,0.178176,4.143104
520,4.168704,3.977216,0.1792,4.156416
521,4.186112,3.995648,0.178176,4.173824
522,4.175872,3.984384,0.1792,4.163584
523,4.227072,4.027392,0.186368,4.21376
524,4.250624,4.04992,0.188416,4.238336
525,4.268032,4.067328,0.188416,4.255744
526,4.210688,4.00896,0.188416,4.197376
527,5.092352,4.893696,0.186368,5.080064
528,4.263936,4.062208,0.187392,4.2496
529,4.23936,4.03968,0.187392,4.227072
530,4.209664,4.009984,0.187392,4.197376
531,5.204992,5.00224,0.188416,5.190656
532,5.023744,4.048896,0.963584,5.01248
533,4.212736,4.012032,0.188416,4.200448
534,4.225024,4.023296,0.188416,4.211712
535,4.205568,4.00384,0.188416,4.192256
536,4.238336,4.038656,0.187392,4.226048
537,4.261888,4.062208,0.187392,4.2496
538,4.22912,4.027392,0.188416,4.215808
539,4.21376,4.01408,0.188416,4.202496
540,4.219904,4.018176,0.188416,4.206592
541,5.15584,4.948992,0.19456,5.143552
542,4.284416,4.072448,0.19968,4.272128
543,4.301824,4.09088,0.198656,4.289536
544,4.320256,4.109312,0.197632,4.306944
545,5.172224,4.063232,1.097728,5.16096
546,4.251648,4.040704,0.198656,4.23936
547,4.260864,4.048896,0.198656,4.247552
548,4.224,4.012032,0.198656,4.210688
549,5.153792,4.942848,0.198656,5.141504
550,4.33664,4.124672,0.197632,4.322304
551,4.246528,4.033536,0.19968,4.233216
552,4.263936,4.050944,0.198656,4.2496
553,4.287488,4.076544,0.197632,4.274176
554,4.304896,4.091904,0.200704,4.292608
555,4.247552,4.035584,0.19968,4.235264
556,4.273152,4.061184,0.198656,4.25984
557,4.301824,4.09088,0.19968,4.29056
558,4.313088,4.10112,0.198656,4.299776
559,4.178944,3.968,0.198656,4.166656
560,4.308992,4.086784,0.208896,4.29568
561,4.349952,4.12672,0.210944,4.337664
562,4.30592,4.082688,0.210944,4.293632
563,4.338688,4.115456,0.210944,4.3264
564,4.361216,4.135936,0.210944,4.34688
565,4.365312,4.141056,0.210944,4.352
566,4.31616,4.092928,0.20992,4.302848
567,4.353024,4.129792,0.210944,4.340736
568,5.322752,5.098496,0.210944,5.30944
569,4.325376,4.10112,0.20992,4.31104
570,4.332544,4.107264,0.210944,4.318208
571,4.250624,4.027392,0.210944,4.238336
572,4.250624,4.027392,0.20992,4.237312
573,4.358144,4.134912,0.210944,4.345856
574,4.340736,4.117504,0.20992,4.327424
575,4.33664,4.113408,0.20992,4.323328
576,4.36224,4.137984,0.211968,4.349952
577,5.346304,5.124096,0.20992,5.334016
578,5.341184,4.128768,1.199104,5.327872
579,4.42368,4.187136,0.223232,4.410368
580,4.375552,4.139008,0.223232,4.36224
581,4.333568,4.097024,0.223232,4.320256
582,4.364288,4.12672,0.224256,4.350976
583,4.34688,4.108288,0.224256,4.332544
584,4.31104,4.072448,0.224256,4.296704
585,4.356096,4.120576,0.223232,4.343808
586,4.410368,4.173824,0.222208,4.396032
587,5.429248,5.19168,0.223232,5.414912
588,4.348928,4.112384,0.223232,4.335616
589,4.375552,4.139008,0.223232,4.36224
590,4.340736,4.102144,0.224256,4.3264
591,4.40832,4.171776,0.223232,4.395008
592,4.442112,4.205568,0.222208,4.427776
593,4.376576,4.139008,0.223232,4.36224
594,5.410816,5.173248,0.223232,5.39648
595,4.360192,4.122624,0.224256,4.34688
596,5.419008,5.18144,0.224256,5.405696
597,4.358144,4.120576,0.22528,4.345856
598,4.359168,4.122624,0.224256,4.34688
599,4.289536,4.054016,0.223232,4.277248
600,4.328448,4.091904,0.223232,4.315136
601,4.424704,4.184064,0.22528,4.409344
602,4.379648,4.141056,0.22528,4.366336
603,4.39296,4.154368,0.224256,4.378624
604,4.425728,4.18816,0.224256,4.412416
605,5.36576,5.128192,0.223232,5.351424
606,4.46976,4.215808,0.239616,4.455424
607,4.501504,4.247552,0.239616,4.487168
608,4.395008,4.141056,0.239616,4.380672
609,4.389888,4.134912,0.24064,4.375552
610,4.441088,4.18816,0.238592,4.426752
611,4.436992,4.18304,0.239616,4.422656
612,4.481024,4.227072,0.238592,4.465664
613,4.486144,4.23424,0.239616,4.473856
614,4.352,4.099072,0.238592,4.337664
615,4.477952,4.224,0.239616,4.463616
616,4.35712,4.104192,0.239616,4.343808
617,4.380672,4.12672,0.239616,4.366336
618,4.51072,4.257792,0.238592,4.496384
619,4.380672,4.12672,0.24064,4.36736
620,4.39808,4.143104,0.24064,4.383744
621,4.456448,4.202496,0.239616,4.442112
622,4.41344,4.160512,0.24064,4.401152
623,5.733376,5.460992,0.257024,5.718016
624,4.503552,4.232192,0.258048,4.49024
625,4.487168,4.215808,0.256,4.471808
626,4.503552,4.233216,0.257024,4.49024
627,4.426752,4.156416,0.256,4.412416
628,4.489216,4.216832,0.257024,4.473856
629,4.560896,4.288512,0.257024,4.545536
630,4.51584,4.243456,0.258048,4.501504
631,4.48512,4.212736,0.258048,4.470784
632,5.743616,5.472256,0.256,5.728256
633,4.461568,4.189184,0.257024,4.446208
634,4.498432,4.227072,0.257024,4.484096
635,4.487168,4.215808,0.257024,4.472832
636,4.521984,4.251648,0.256,4.507648
637,4.566016,4.293632,0.257024,4.550656
638,4.542464,4.272128,0.257024,4.529152
639,4.457472,4.187136,0.256,4.443136
640,4.484096,4.211712,0.259072,4.470784
641,5.6576,5.382144,0.259072,5.641216
642,4.579328,4.308992,0.256,4.564992
643,4.51584,4.243456,0.257024,4.50048
644,4.468736,4.197376,0.257024,4.4544
645,4.498432,4.226048,0.257024,4.483072
646,4.49024,4.21888,0.257024,4.475904
647,4.527104,4.25472,0.257024,4.511744
648,4.57728,4.304896,0.257024,4.56192
649,4.509696,4.23936,0.257024,4.496384
650,5.726208,5.455872,0.256,5.711872
651,4.451328,4.178944,0.258048,4.436992
652,4.511744,4.23936,0.258048,4.497408
653,4.59264,4.320256,0.257024,4.57728
654,4.528128,4.256768,0.258048,4.514816
655,4.484096,4.212736,0.257024,4.46976
656,4.499456,4.227072,0.257024,4.484096
657,4.488192,4.214784,0.258048,4.472832
658,5.69856,5.428224,0.257024,5.685248
659,4.525056,4.252672,0.257024,4.509696
660,4.493312,4.219904,0.259072,4.478976
661,4.57728,4.304896,0.257024,4.56192
662,4.475904,4.202496,0.258048,4.460544
663,4.594688,4.322304,0.258048,4.580352
664,4.519936,4.246528,0.259072,4.5056
665,4.496384,4.224,0.258048,4.482048
666,4.528128,4.253696,0.259072,4.512768
667,5.661696,5.387264,0.259072,5.646336
668,4.528128,4.255744,0.258048,4.513792
669,4.534272,4.25984,0.259072,4.518912
670,4.557824,4.28544,0.259072,4.544512
671,4.489216,4.216832,0.258048,4.47488
672,4.5312,4.25984,0.258048,4.517888
673,4.57728,4.30592,0.257024,4.562944
674,4.524032,4.250624,0.259072,4.509696
675,4.463616,4.189184,0.259072,4.448256
676,5.743616,5.471232,0.258048,5.72928
677,4.491264,4.217856,0.258048,4.475904
678,4.59264,4.320256,0.258048,4.578304
679,4.506624,4.23424,0.258048,4.492288
680,4.481024,4.207616,0.259072,4.466688
681,4.560896,4.287488,0.259072,4.54656
682,4.537344,4.262912,0.259072,4.521984
683,4.534272,4.261888,0.257024,4.518912
684,4.53632,4.262912,0.259072,4.521984
685,5.726208,5.455872,0.258048,5.71392
686,4.584448,4.312064,0.258048,4.570112
687,4.511744,4.23936,0.258048,4.497408
688,4.52096,4.247552,0.258048,4.5056
689,4.51072,4.236288,0.259072,4.49536
690,4.558848,4.28544,0.258048,4.543488
691,4.543488,4.27008,0.259072,4.529152
692,4.475904,4.202496,0.259072,4.461568
693,5.762048,5.48864,0.259072,5.747712
694,4.544512,4.271104,0.259072,4.530176
695,4.564992,4.291584,0.259072,4.550656
696,4.517888,4.24448,0.258048,4.502528
697,4.502528,4.22912,0.258048,4.487168
698,4.590592,4.317184,0.259072,4.576256
699,4.49536,4.220928,0.259072,4.48
700,4.494336,4.21888,0.26112,4.48
701,4.482048,4.207616,0.259072,4.466688
702,4.555776,4.281344,0.259072,4.540416
703,4.585472,4.31104,0.260096,4.571136
704,4.475904,4.201472,0.259072,4.460544
705,4.588544,4.315136,0.258048,4.573184
706,4.575232,4.3008,0.259072,4.559872
707,4.46464,4.190208,0.259072,4.44928
708,4.558848,4.284416,0.259072,4.543488
709,5.725184,5.450752,0.259072,5.709824
710,5.753856,5.479424,0.259072,5.738496
711,4.552704,4.279296,0.259072,4.538368
712,4.542464,4.268032,0.259072,4.527104
713,4.51584,4.241408,0.259072,4.50048
